dataset,scenario,model,trace_seeds,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,degrees_of_freedom,t_critical_0_975,ci_method,uncertainty_scope
ciciot2023,drift,HeavyMLP,10,0.8090482692975384,0.0018714144010201599,0.8077095400818025,0.8103869985132742,0.8762301829268292,0.0015031214423637544,0.8751549146224952,0.8773054512311632,0.9999974594973058,1.02781871844133e-06,0.9999967242400875,0.9999981947545241,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,drift,LightLR,10,0.7103879147123594,0.0017983910810578504,0.7091014232328569,0.711674406191862,0.786210933068633,0.0018673147895772169,0.7848751365382548,0.7875467295990112,0.9999707714123653,3.0956700342999495e-05,0.9999486263229884,0.9999929165017423,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,drift,MedRF,10,0.7777873131606597,0.0010374763621458678,0.777045147280199,0.7785294790411205,0.8501814024390244,0.0008989868072238004,0.8495383060180844,0.8508244988599644,0.9999973574872376,6.992890185366488e-07,0.999996857246009,0.9999978577284663,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,drift,TinyDT,10,0.7541671545348712,0.00098363107680334,0.7534635072511351,0.7548708018186072,0.8290655487804879,0.0009069531248556433,0.8284167535992147,0.829714343961761,0.9997214341676119,8.172107206804471e-05,0.9996629744343433,0.9997798939008806,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,stationary,HeavyMLP,10,0.9931251282669296,0.00041378493832555316,0.9928291243537044,0.9934211321801547,0.877295941018508,0.004796950657002527,0.873864409238336,0.8807274727986801,0.9999981783826086,1.5504628338887703e-06,0.9999970692483129,0.9999992875169044,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,stationary,LightLR,10,0.9881202423329517,0.0007461649261851243,0.987586468099999,0.9886540165659045,0.7870112885878149,0.0069424940832786865,0.7820449275005583,0.7919776496750714,0.999987344773021,1.7036641017709505e-05,0.9999751574942142,0.9999995320518278,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,stationary,MedRF,10,0.9917021429664382,0.0005851180736407512,0.9912835747116407,0.9921207112212357,0.8517612940088197,0.006040095557931106,0.8474404699386242,0.8560821180790152,0.9999967572036755,2.1027303844897103e-06,0.9999952530009736,0.9999982614063775,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ciciot2023,stationary,TinyDT,10,0.9904154157250147,0.0006560009268714924,0.9899461409316425,0.9908846905183869,0.8285714327288177,0.005844547567325863,0.8243904952641539,0.8327523701934816,0.9996681891117062,0.000382748974337821,0.9993943869896537,0.9999419912337587,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
n_baiot,stationary,HeavyMLP,10,0.9977125413851653,0.00014208220695134728,0.9976109018972046,0.997814180873126,0.9800096743586348,0.001086565246236902,0.9792323924059324,0.9807869563113373,0.9944276966038569,0.0007796778469779823,0.9938699486715751,0.9949854445361387,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
n_baiot,stationary,LightLR,10,0.9983582056684156,9.861167480033477e-05,0.9982876631258361,0.9984287482109951,0.986208145862672,0.0007846291371351984,0.9856468559907827,0.9867694357345613,0.9962020323536234,0.00048014312745506033,0.9958585586515355,0.9965455060557112,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
n_baiot,stationary,MedRF,10,0.999752477596328,7.563083636410762e-05,0.9996983745552293,0.9998065806374268,0.9983715698922195,0.0004992876125847772,0.9980144010504826,0.9987287387339565,0.999996550067781,2.564002915479481e-06,0.9999947158905884,0.9999983842449736,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
n_baiot,stationary,TinyDT,10,0.9984332271881844,0.00015285704600040276,0.9983238798446991,0.9985425745316697,0.986673533939949,0.0012381609615806893,0.9857878069453572,0.9875592609345409,0.9887106500393867,0.0011581755050657136,0.9878821411934915,0.989539158885282,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,drift,HeavyMLP,10,0.9822232852852405,0.0008445164630909342,0.9816191546011476,0.9828274159693334,0.9883468519568916,0.0005803086314913922,0.9879317241697496,0.9887619797440337,0.9915503759571752,0.0005534574280038723,0.9911544563638821,0.9919462955504683,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,drift,LightLR,10,0.9704386431074035,0.0007493697492157471,0.9699025762821633,0.9709747099326437,0.9767277722631877,0.0006997415302581166,0.9762272073271108,0.9772283371992647,0.9937303134749008,0.000327448139854852,0.9934960711867026,0.9939645557630991,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,drift,MedRF,10,0.9838638078329257,0.0006350981211304381,0.9834094860059949,0.9843181296598565,0.9906292186613725,0.00041761304314242507,0.9903304762869298,0.9909279610358153,0.996632569129325,0.0003191059865661204,0.9964042944580926,0.9968608438005573,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,drift,TinyDT,10,0.6067775477096781,0.0010284360923939913,0.6060418488486163,0.6075132465707398,0.6604044242768008,0.0014524910785409086,0.6593653747528802,0.6614434738007214,0.9905264495001418,0.0006165008281139259,0.990085431375203,0.9909674676250806,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,stationary,HeavyMLP,10,0.9733419687607098,0.0004343126453995467,0.9730312802104651,0.9736526573109544,0.9882248821619448,0.0002505811206393908,0.9880456272267851,0.9884041370971045,0.9915468060916874,0.000319698483971311,0.9913181075733446,0.9917755046100303,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,stationary,LightLR,10,0.9615751253583232,0.00048519985891212655,0.9612280342884659,0.9619222164281805,0.976501717915388,0.000390401482358508,0.9762224415188747,0.9767809943119012,0.9938027319985696,0.00024270175931096657,0.993629113618951,0.9939763503781882,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,stationary,MedRF,10,0.9743915246415144,0.0005982064458869903,0.9739635935292423,0.9748194557537864,0.9906295423976849,0.00027174200824420426,0.9904351498754402,0.9908239349199295,0.9966627832472457,9.902785774032431e-05,0.9965919429853259,0.9967336235091654,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
ton_iot,stationary,TinyDT,10,0.479097692485096,0.0010097450638549515,0.4783753643803797,0.47982002058981227,0.6597759536757449,0.0005463277797849549,0.6593851343255425,0.6601667730259474,0.9905200910928015,0.0002629508289394343,0.9903319874013843,0.9907081947842187,9,2.262157162854099,"two-sided Student-t 95% CI: mean +/- t(0.975,9)*sample_sd/sqrt(10)","workload resampling only, conditional on one model seed and fixed split; not hardware or training uncertainty"
