source_kind,logical_path,article_member,workspace_relative_path,sha256,bytes,binding,use
accepted_archive,TNSM_ARTICLE_DATA_20260907_V1.zip,,TNSM_ARTICLE_DATA_20260907_V1.zip,c135da2db921dc442b4fbea7bd2596aaef8f1eda2f553945d400168d77375c74,301091515,actual file equals task-authorized SHA-256,immutable accepted baseline
archive_member,summary/static_replay_aggregates.csv,TNSM_ARTICLE_DATA_20260907_V1/summary/static_replay_aggregates.csv,,e0e15a27434976c899f285c1bf72b8c5c4890a778e1fcecd44ab88b93a6f7e71,5548,actual ZIP member equals accepted root-manifest SHA-256,old aggregate means/sample SDs and normal-critical intervals being corrected
archive_member,summary/static_replay_metrics.csv,TNSM_ARTICLE_DATA_20260907_V1/summary/static_replay_metrics.csv,,c84077f87072962fac6697ad3e55331c91d4d7a5580573db1dd1a4f9b09a9631,46963,actual ZIP member equals accepted root-manifest SHA-256,accepted 200 cached static replay evaluations
archive_member_and_workspace_copy,raw/software/audit_results.py,TNSM_ARTICLE_DATA_20260907_V1/raw/software/audit_results.py,tnsm_experiments_v1/audit_results.py,002edb33d47721724a7989749d17261624d2717837a3c34385ac6c7ee84f4436,8677,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted Student-t replay method and conditional-uncertainty wording
archive_member_and_workspace_copy,raw/software/classification_campaign.py,TNSM_ARTICLE_DATA_20260907_V1/raw/software/classification_campaign.py,tnsm_experiments_v1/classification_campaign.py,bda1351be088086f6b3130e321a07c3fb141d449080c7962504e23b58a96e9ba,14557,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-only encoding and fixed-threshold metric definitions
archive_member_and_workspace_copy,raw/software/execution/results_audit.json,TNSM_ARTICLE_DATA_20260907_V1/raw/software/execution/results_audit.json,tnsm_experiments_v1/execution/results_audit.json,73ed6063df56f1acc42787c809168247244872c8b52e37a5ce8279793278a7a7,18682,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted audit result and replay interval interpretation
archive_member_and_workspace_copy,raw/software/results/ciciot2023/split_manifest.json,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/split_manifest.json,tnsm_experiments_v1/results/ciciot2023/split_manifest.json,eed8f8337b05f2c050a56f4b4f670797588553c6c152c34fa72cb1d8467433a5,138932,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,fixed split identity and accepted row counts
archive_member_and_workspace_copy,raw/software/results/ciciot2023/test_X.npy,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/test_X.npy,tnsm_experiments_v1/results/ciciot2023/test_X.npy,5f6a9c0a4b601b98e0a14893102caa11c0bb8ff0b5fde329f644a37e71717c8a,11098748,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted train-fitted encoded inputs for exact-byte overlap diagnosis
archive_member_and_workspace_copy,raw/software/results/ciciot2023/test_pool.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/test_pool.npz,tnsm_experiments_v1/results/ciciot2023/test_pool.npz,1908b5b96a23454567b49afd447564d893fcbd22d538e64a728ce974560800ff,5817105,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,"accepted labels, row IDs, and pre-encoding feature fingerprints"
archive_member_and_workspace_copy,raw/software/results/ciciot2023/test_predictions.npz,TNSM_ARTICLE_DATA_20260907_V1/raw/software/results/ciciot2023/test_predictions.npz,tnsm_experiments_v1/results/ciciot2023/test_predictions.npz,c3458a4ce8e07cfa89a65a0dcede5524eb35ea3ba8063d69c204f17689418d5e,3746906,workspace bytes = ZIP member bytes = accepted root-manifest SHA-256,accepted cached test scores; no model inference performed
