dataset,encoding_dtype,equality_rule,score_source,fixed_threshold,analysis_role,train_rows,validation_rows,test_rows,train_unique_encoded_rows,validation_unique_encoded_rows,test_unique_encoded_rows,validation_rows_matching_train,validation_unique_vectors_matching_train,test_rows_matching_train,test_unique_vectors_matching_train,test_rows_matching_validation,test_unique_vectors_matching_validation,test_rows_matching_train_or_validation,test_unique_vectors_matching_train_or_validation,overlapping_test_benign,overlapping_test_attack,overlapping_unique_vectors_with_cross_label_conflict,posthoc_novel_test_rows,posthoc_novel_benign,posthoc_novel_attack,model,published_main_test_f1,published_main_test_roc_auc,published_main_test_average_precision,cached_full_rows,cached_full_accuracy,cached_full_balanced_accuracy,cached_full_precision,cached_full_recall,cached_full_f1,cached_full_roc_auc,cached_full_average_precision,cached_full_tn,cached_full_fp,cached_full_fn,cached_full_tp,posthoc_novel_rows,posthoc_novel_accuracy,posthoc_novel_balanced_accuracy,posthoc_novel_precision,posthoc_novel_recall,posthoc_novel_f1,posthoc_novel_roc_auc,posthoc_novel_average_precision,posthoc_novel_tn,posthoc_novel_fp,posthoc_novel_fn,posthoc_novel_tp,delta_novel_minus_cached_full_accuracy,delta_novel_minus_cached_full_balanced_accuracy,delta_novel_minus_cached_full_precision,delta_novel_minus_cached_full_recall,delta_novel_minus_cached_full_f1,delta_novel_minus_cached_full_roc_auc,delta_novel_minus_cached_full_average_precision
ton_iot,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,138441,22842,22490,62903,19839,10709,0,0,0,0,0,0,0,0,0,0,0,22490,17129,5361,TinyDT,0.4792329405439312,0.990559626383811,0.9518796174812332,22490,0.4831925300133393,0.6598885963256163,0.3153673782285647,0.9975750792762544,0.4792329405439312,0.990559626383811,0.9518796174812332,5519,11610,13,5348,22490,0.4831925300133393,0.6598885963256163,0.3153673782285647,0.9975750792762544,0.4792329405439312,0.990559626383811,0.9518796174812332,5519,11610,13,5348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ton_iot,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,138441,22842,22490,62903,19839,10709,0,0,0,0,0,0,0,0,0,0,0,22490,17129,5361,LightLR,0.9619524870081663,0.993825429208202,0.9836994379213991,22490,0.9817696754112939,0.9766264788466866,0.9571560480147738,0.9667972393210222,0.9619524870081663,0.9938254183183449,0.9839333937048446,16897,232,178,5183,22490,0.9817696754112939,0.9766264788466866,0.9571560480147738,0.9667972393210222,0.9619524870081663,0.9938254183183449,0.9839333937048446,16897,232,178,5183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ton_iot,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,138441,22842,22490,62903,19839,10709,0,0,0,0,0,0,0,0,0,0,0,22490,17129,5361,MedRF,0.9745507616528323,0.9966735134465616,0.986483722512727,22490,0.9875944864384171,0.9906384743946081,0.9535880042841842,0.9964558850960642,0.9745507616528323,0.9966735134465616,0.986483722512727,16869,260,19,5342,22490,0.9875944864384171,0.9906384743946081,0.9535880042841842,0.9964558850960642,0.9745507616528323,0.9966735134465616,0.986483722512727,16869,260,19,5342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ton_iot,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,138441,22842,22490,62903,19839,10709,0,0,0,0,0,0,0,0,0,0,0,22490,17129,5361,HeavyMLP,0.9735925178800661,0.9915349492160768,0.9824741946288523,22490,0.9871943085815919,0.9882612566901702,0.9574391343552751,0.9903003171050178,0.9735925178800661,0.9915349492160768,0.9824741946288523,16893,236,52,5309,22490,0.9871943085815919,0.9882612566901702,0.9574391343552751,0.9903003171050178,0.9735925178800661,0.9915349492160768,0.9824741946288523,16893,236,52,5309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciciot2023,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,200000,76709,71145,170556,73919,69220,27,26,13,13,11,11,24,24,0,24,0,71121,3828,67293,TinyDT,0.9903709643012145,0.999728366865863,0.9999696872017282,71145,0.9816009557945041,0.8290229885057472,0.9809255967126163,1.0,0.9903709643012145,0.999728366865863,0.9999696872017282,2519,1309,0,67317,71121,0.981594746980498,0.8290229885057472,0.9809189236465409,1.0,0.9903675631921705,0.9997283631566697,0.9999696761793362,2519,1309,0,67293,-6.2088140061478114e-06,0.0,-6.673066075379985e-06,0.0,-3.4011090440655423e-06,-3.7091932858501764e-09,-1.1022391999127024e-08
ciciot2023,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,200000,76709,71145,170556,73919,69220,27,26,13,13,11,11,24,24,0,24,0,71121,3828,67293,LightLR,0.9879869963087716,0.999977457364227,0.9999987673560841,71145,0.9769906528919812,0.7863039622153603,0.976273349576517,0.9999851449113893,0.9879869963087716,0.9999774573642269,0.999998767356084,2192,1636,1,67316,71121,0.9769828883170935,0.7863039595663319,0.9762650882079852,0.9999851396133327,0.987982763303749,0.9999774493244121,0.9999987664933762,2192,1636,1,67292,-7.764574887714204e-06,-2.6490283300262263e-09,-8.261368531825575e-06,-5.2980566600524526e-09,-4.2330050226135896e-06,-8.03981481389826e-09,-8.627077940914774e-10
ciciot2023,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,200000,76709,71145,170556,73919,69220,27,26,13,13,11,11,24,24,0,24,0,71121,3828,67293,MedRF,0.9915452710963162,0.9999972020588066,0.9999998408216134,71145,0.9838639398411695,0.8500522466039707,0.9832323084787847,1.0,0.9915452710963162,0.9999972020588066,0.9999998408216133,2680,1148,0,67317,71121,0.9838584946780838,0.8500522466039707,0.9832264286027381,1.0,0.9915422812265166,0.9999972010609229,0.9999998407080253,2680,1148,0,67293,-5.4451630856489075e-06,0.0,-5.879876046610555e-06,0.0,-2.989869799630007e-06,-9.97883664588528e-10,-1.1358802787242439e-10
ciciot2023,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,200000,76709,71145,170556,73919,69220,27,26,13,13,11,11,24,24,0,24,0,71121,3828,67293,HeavyMLP,0.9930152454990006,0.9999978792304269,0.9999998793467252,71145,0.986689155949118,0.8763061650992685,0.9861273877885854,1.0,0.9930152454990006,0.9999978792304269,0.9999998793467252,2881,947,0,67317,71121,0.9866846641638897,0.8763061650992685,0.9861225087924971,1.0,0.9930127717972744,0.999997878474056,0.9999998792606677,2881,947,0,67293,-4.491785228322165e-06,0.0,-4.878996088364396e-06,0.0,-2.4737017261244887e-06,-7.563709658597872e-10,-8.6057494463887e-11
n_baiot,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,200000,87039,83355,145347,64688,68641,21832,7,14449,7,14449,7,14449,7,0,14449,0,68906,8467,60439,TinyDT,0.9983733333333333,0.9886534964218272,0.9974448993698893,83355,0.9970727610821186,0.9861148800207602,0.9968846522526361,0.9998664672577716,0.9983733333333333,0.9886534964218272,0.9974448993698893,8233,234,10,74878,68906,0.9964589440687314,0.9860989183520326,0.9961426240047475,0.9998345439203163,0.9979851695265148,0.9886514960761692,0.9968355850056705,8233,234,10,60429,-0.0006138170133872523,-1.59616687276376e-05,-0.0007420282478886042,-3.19233374552752e-05,-0.0003881638068184978,-2.000345658004221e-06,-0.0006093143642188492
n_baiot,float32,exact full-row byte equality after accepted train-only preprocessing,accepted float32 test_predictions.npz cache,0.5,post hoc diagnostic; main test result retained,200000,87039,83355,145347,64688,68641,21832,7,14449,7,14449,7,14449,7,0,14449,0,68906,8467,60439,LightLR,0.9983931512238053,0.9965499741375133,0.999483877405515,83355,0.9971087517245516,0.9866586714929514,0.9970171116585658,0.9997729943382118,0.9983931512238053,0.9964830476911266,0.9994431209413627,8243,224,17,74871,68906,0.9965024816416568,0.9866315366561145,0.9963064340599544,0.9997187246645378,0.9980096626336871,0.9977881343908185,0.9995485015733148,8243,224,17,60422,-0.000606270082894822,-2.713483683691731e-05,-0.0007106775986113201,-5.426967367394564e-05,-0.00038348859011827496,0.0013050866996918709,0.00010538063195209002
