dataset,model,split,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,training_seconds
ton_iot,TinyDT,validation,22842,0.9803432273881446,0.9762368362708659,0.9783168451009622,0.9911443674057802,0.9846888320545609,0.9911565706288497,0.9924167400516497,7955,320,129,14438,0.28838866599835455
ton_iot,TinyDT,test,22490,0.4831925300133393,0.6598885963256163,0.3153673782285647,0.9975750792762544,0.4792329405439312,0.990559626383811,0.9518796174812332,5519,11610,13,5348,0.28838866599835455
ton_iot,LightLR,validation,22842,0.9900183871815077,0.9893293225572761,0.9925121934464519,0.9918308505526189,0.992171405026782,0.9932420442099293,0.994431951141177,8166,109,119,14448,4.477389000006951
ton_iot,LightLR,test,22490,0.9817696754112939,0.9766264788466866,0.9571560480147738,0.9667972393210222,0.9619524870081663,0.993825429208202,0.9836994379213991,16897,232,178,5183,4.477389000006951
ton_iot,MedRF,validation,22842,0.990631293231766,0.9895227739228488,0.9917768793257041,0.9935470584197158,0.9926611796982168,0.9982285914216155,0.9988805848582203,8155,120,94,14473,0.5674467079807073
ton_iot,MedRF,test,22490,0.9875944864384171,0.9906384743946081,0.9535880042841842,0.9964558850960642,0.9745507616528323,0.9966735134465616,0.986483722512727,16869,260,19,5342,0.5674467079807073
ton_iot,HeavyMLP,validation,22842,0.9876105419840644,0.9855362812565005,0.9875750955761878,0.9930665202169286,0.9903131952763992,0.9952508266314812,0.9966640452862359,8093,182,101,14466,4.346699124987936
ton_iot,HeavyMLP,test,22490,0.9871943085815919,0.9882612566901702,0.9574391343552751,0.9903003171050178,0.9735925178800661,0.9915349492160768,0.9824741946288523,16893,236,52,5309,4.346699124987936
ciciot2023,TinyDT,validation,76709,0.993155953017247,0.8382624768946396,0.9930565658435941,1.0,0.9965161881125703,0.9999955278226951,0.9999999032130548,1098,525,0,75086,0.17211750001297332
ciciot2023,TinyDT,test,71145,0.9816009557945041,0.8290229885057472,0.9809255967126163,1.0,0.9903709643012145,0.999728366865863,0.9999696872017282,2519,1309,0,67317,0.17211750001297332
ciciot2023,LightLR,validation,76709,0.9917871436206964,0.8059149722735675,0.9916794336731999,1.0,0.9958223365737855,0.999993345071937,0.9999998568271896,993,630,0,75086,2.341768625017721
ciciot2023,LightLR,test,71145,0.9769906528919812,0.7863039622153603,0.976273349576517,0.9999851449113893,0.9879869963087716,0.999977457364227,0.9999987673560841,2192,1636,1,67316,2.341768625017721
ciciot2023,MedRF,validation,76709,0.9940293837750459,0.8589032655576094,0.9939373080588796,1.0,0.9969594370311359,0.9999999507650205,0.9999999989357706,1165,458,0,75086,0.8809561250091065
ciciot2023,MedRF,test,71145,0.9838639398411695,0.8500522466039707,0.9832323084787847,1.0,0.9915452710963162,0.9999972020588066,0.9999998408216134,2680,1148,0,67317,0.8809561250091065
ciciot2023,HeavyMLP,validation,76709,0.9949158508128121,0.8798521256931608,0.9948327945307117,1.0,0.9974097049720381,0.9999997210017828,0.9999999939703005,1233,390,0,75086,4.916980999987572
ciciot2023,HeavyMLP,test,71145,0.986689155949118,0.8763061650992685,0.9861273877885854,1.0,0.9930152454990006,0.9999978792304269,0.9999998793467252,2881,947,0,67317,4.916980999987572
n_baiot,TinyDT,validation,87039,0.9951745769137973,0.9881290981871687,0.9981143697595193,0.9966109779211487,0.997362107299426,0.9884415519210734,0.9979511402954119,7220,150,270,79399,4.38446554201073
n_baiot,TinyDT,test,83355,0.9970727610821186,0.9861148800207602,0.9968846522526361,0.9998664672577716,0.9983733333333333,0.9886534964218272,0.9974448993698893,8233,234,10,74878,4.38446554201073
n_baiot,LightLR,validation,87039,0.999528946793966,0.9982650860404394,0.99969878005924,0.9997866171283686,0.9997426966644701,0.999829494669882,0.9999744888341298,7346,24,17,79652,6.681516625016229
n_baiot,LightLR,test,83355,0.9971087517245516,0.9866586714929514,0.9970171116585658,0.9997729943382118,0.9983931512238053,0.9965499741375133,0.999483877405515,8243,224,17,74871,6.681516625016229
n_baiot,MedRF,validation,87039,0.9997931961534484,0.9993944994906249,0.9998995820101171,0.9998744806637463,0.9998870311793945,0.9999996338309729,0.9999999661366566,7362,8,10,79659,4.233527042000787
n_baiot,MedRF,test,83355,0.9995201247675605,0.9981092736768866,0.9995861700707516,0.9998798205319944,0.9997329737379671,0.999996765375525,0.9999996356165657,8436,31,9,74879,4.233527042000787
n_baiot,HeavyMLP,validation,87039,0.9997587288456898,0.9986984385684099,0.9997615641392466,0.9999748961327493,0.9998682187568636,0.9999978455636315,0.9999998005638898,7351,19,2,79667,5.539514750009403
n_baiot,HeavyMLP,test,83355,0.9959690480475076,0.9805772707344539,0.9956387618338475,0.9998931738062173,0.9977614326830828,0.9945255100496548,0.9987941716510275,8139,328,8,74880,5.539514750009403
