run_id,repetition,profile,source_version,status,power_samples,telemetry_windows,duration_seconds,energy_joules,mean_watts,voltage_min,voltage_max,temperature_min_c,temperature_max_c,load_1m_max,inference_batch_ms_median,inference_batch_ms_p95,lateness_seconds_p95,throttle_values,power_sha256,telemetry_sha256,source_path
r1-0-idle,1,idle,v1,PASS,1801,1800,1800.0012253335,4220.600871135055,2.3447766655564757,5.376285,5.401776,28.719,33.589,0.28955078125,0.006185,0.007537,0.00012845502599247993,throttled=0x0,f7d9d7559c4ec52e5069c4565f9f61b377233235a86b68e05b2989ab933bca2e,531e30becac9e8ba53069c2b6e83d3feb07bc4c5468aa0ca3c0efa6ff165c637,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r1-0-idle
r1-1-TinyDT,1,TinyDT,v1,PASS,1801,1800,1799.9974727709998,4228.854083689684,2.3493666783762697,5.381616,5.401055,29.206,33.589,0.38525390625,1.3054425,1.3358694500000001,0.00012826899371702892,throttled=0x0,c244c1f2bd7bb7761af9084777167f84c4ef3fac2383b8cf2323eb7dbd9be96b,b8d1f9e23398221ab8a58d063579b811f14f93d1dfe70fe1f7f7b67d7fcc5fd4,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r1-1-TinyDT
r1-2-HeavyMLP,1,HeavyMLP,v1,PASS,1801,1800,1800.0042718120003,4257.805978459568,2.3654421520752202,5.379047,5.39791,29.206,34.076,0.3466796875,4.4669445,4.61302365,0.00013189758010412334,throttled=0x0,c4ef3069acbd14c1ae9705fe8c918e827973927f50f6241d4832cbc73654c864,766ea35c47ec758dd942cd429422fe00166135890f43abc673213de9dad4e400,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r1-2-HeavyMLP
r1-3-LightLR,1,LightLR,v1,PASS,1801,1800,1799.9953512289994,4224.380253912407,2.346883980021442,5.372501,5.398136,29.206,35.05,0.322265625,1.5433135,1.5781671499999999,0.00012721707125820103,throttled=0x0,d800a08b8d19d62d7f2e6365916250e47ed5920cf373a076a6efb1b41efdcb12,57e233039ab4af680d92b98560138452f6b62dc642ddfc237b43c99e00aa44a3,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r1-3-LightLR
r1-4-MedRF,1,MedRF,v1,PASS,1801,1800,1800.0016978334988,4306.795870256884,2.392662115508329,5.378985,5.397613,29.206,34.076,0.8369140625,30.9725425,38.331110200000005,0.00016859418910826206,throttled=0x0,03b29e67406a669f9a33bb18d19ba300e4a3172f1f86d38e68f5c952deff923a,1f0548fa0c24695114fcbcc012102b06131b850b054a93f9a445e7e866ecad4b,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r1-4-MedRF
r2-0-idle,2,idle,v1,PASS,1801,1800,1799.9938021874987,4194.96032383762,2.330541537831721,5.379143,5.398276,28.719,34.563,0.29248046875,0.00624,0.007722,0.0001298595248044876,throttled=0x0,cf315a923ee4d418385d989e54e871a6faf6dd928fb2aa26e054a93881580f39,f59ed8e3ddc6f168f49f865d9a5da4b8e11f535dd8923538d06469af7d313567,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r2-0-idle
r2-1-MedRF,2,MedRF,v1,PASS,1801,1800,1799.9955494994992,4317.743683201059,2.3987524215832847,5.369272,5.397528,29.693,34.076,0.80126953125,31.1621445,38.39958135,0.00013414201748673804,throttled=0x0,ddb7ca59ced624af9ed461d7ebfc04e3780450eaef94e5adbfd99e2f14a3edca,f7c5f18cb809f49057cd8831867c8a8d097cebadbfc7f58cb35391e245257706,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r2-1-MedRF
r2-2-LightLR,2,LightLR,v1,PASS,1801,1800,1800.0062847289992,4226.905934130734,2.3482728754844975,5.379705,5.398226,29.206,34.076,0.3134765625,1.546537,1.58082615,0.00012898895947728307,throttled=0x0,75ad1607e2f0bb52066387aaad5b690cf86d17e607107e1ef89960fdae102e2a,b6b2aed34a131473dadd8b9189ace0748ce9c18ad3016ad6a8c5bcbc7c49bdab,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r2-2-LightLR
r2-3-HeavyMLP,2,HeavyMLP,v1,PASS,1801,1800,1799.9978031460014,4248.28360985484,2.3601604415459683,5.379275,5.398122,29.206,36.024,0.4169921875,4.2960485,4.3776212,0.00013002311734453543,throttled=0x0,e9a49887f3697a5b401c0ac99f370fa197f073e1ce6aed8565184666d2783577,3993be8a3ecd14dee8526a04d0902b3b47a68fe7fe082dcdc3cf9903343ff376,/Volumes/RESEARCH_DATA/10_PROJECTS/COMPLETE_RESEARCH_BY_SOURCE_PATH/Documents/ChatGPT/TNSM - 文章重构/physical_campaign_v1/execution/r2-3-HeavyMLP
r2-4-TinyDT,2,TinyDT,v2,PASS,1801,1800,1800.0052020205,4244.017541367621,2.35778070896891,5.368777,5.395189,29.693,34.563,0.22265625,1.297365,1.3299496000000002,0.00012815912086807656,throttled=0x0,62ac2ccb7bbdf2f047bf2a89715729e9c0a032eb109032fd89cd19bbb3502ad7,1a8321356cb9f7fad896400861685fb60e90200e263659bb0309292796d2670b,/Users/nuonanouyang/Library/Application Support/Codex/TNSM-physical-runtime-v2/execution/r2-4-TinyDT
