dataset,model,rows_checked,maximum_probability_error,label_disagreements,batch_size,timing_loops,warmup_loops,batch_ms_median,batch_ms_p95,temperature_after_c
ton_iot,TinyDT,10000,2.0533191924521077e-08,0,100,1000,20,0.2448475,0.3041795,34.076
ton_iot,LightLR,10000,2.967336132364551e-08,0,100,1000,20,0.330559,0.39766270000000004,34.563
ton_iot,MedRF,10000,2.975237578528578e-08,0,100,1000,20,26.2879565,27.407827,33.589
ton_iot,HeavyMLP,10000,1.1920928955078125e-07,0,100,1000,20,1.5922935,1.6725040999999998,35.05
ciciot2023,TinyDT,10000,2.790004649533273e-08,0,100,1000,20,0.232255,0.28893719999999995,36.511
ciciot2023,LightLR,10000,2.9798059575369962e-08,0,100,1000,20,0.299938,0.35778025,34.076
ciciot2023,MedRF,10000,2.9758610464725166e-08,0,100,1000,20,26.036045,27.82180985,34.076
ciciot2023,HeavyMLP,10000,1.1920928955078125e-07,0,100,1000,20,1.540739,1.6281133,35.05
n_baiot,TinyDT,10000,1.1920928910669204e-08,0,100,1000,20,0.2557265,0.3141855,36.024
n_baiot,LightLR,10000,2.9797427636424345e-08,0,100,1000,20,0.3612435,0.42751184999999997,35.537
n_baiot,MedRF,10000,2.965088663486881e-08,0,100,1000,20,26.243421,27.3491562,33.589
n_baiot,HeavyMLP,10000,2.9802322387695312e-08,0,100,1000,20,1.6570055,1.7391973,36.024
