dataset,scenario,model,trace_seeds,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high
ciciot2023,drift,HeavyMLP,10,0.8090482692975384,0.0018714144010201599,0.8078883546346988,0.810208183960378,0.8762301829268292,0.0015031214423637544,0.8752985386047186,0.8771618272489398,0.9999974594973058,1.02781871844133e-06,0.9999968224486641,0.9999980965459475
ciciot2023,drift,LightLR,10,0.7103879147123594,0.0017983910810578504,0.7092732603721439,0.7115025690525749,0.786210933068633,0.0018673147895772169,0.785053559371291,0.787368306765975,0.9999707714123653,3.0956700342999495e-05,0.9999515842507076,0.9999899585740231
ciciot2023,drift,MedRF,10,0.7777873131606597,0.0010374763621458678,0.7771442786493583,0.7784303476719612,0.8501814024390244,0.0008989868072238004,0.8496242046431595,0.8507386002348893,0.9999973574872376,6.992890185366487e-07,0.9999969240634136,0.9999977909110617
ciciot2023,drift,TinyDT,10,0.7541671545348712,0.00098363107680334,0.7535574936771867,0.7547768153925556,0.8290655487804879,0.0009069531248556433,0.8285034134097999,0.8296276841511758,0.9997214341676119,8.172107206804471e-05,0.9996707829223811,0.9997720854128428
ciciot2023,stationary,HeavyMLP,10,0.9931251282669296,0.00041378493832555316,0.9928686617050797,0.9933815948287794,0.877295941018508,0.004796950657002527,0.8743227601981926,0.8802691218388236,0.9999981783826086,1.5504628338887703e-06,0.9999972173957881,0.9999991393694292
ciciot2023,stationary,LightLR,10,0.9881202423329517,0.0007461649261851243,0.987657764520284,0.9885827201456194,0.7870112885878149,0.0069424940832786865,0.7827082861745158,0.791314291001114,0.999987344773021,1.7036641017709505e-05,0.9999767853535192,0.9999979041925228
ciciot2023,stationary,MedRF,10,0.9917021429664382,0.0005851180736407512,0.9913394830271226,0.9920648029057538,0.8517612940088197,0.006040095557931106,0.8480176039961866,0.8555049840214528,0.9999967572036755,2.1027303844897103e-06,0.9999954539178808,0.9999980604894703
ciciot2023,stationary,TinyDT,10,0.9904154157250147,0.0006560009268714924,0.9900088221380999,0.9908220093119294,0.8285714327288177,0.005844547567325863,0.8249489446164523,0.8321939208411832,0.9996681891117062,0.000382748974337821,0.9994309588396301,0.9999054193837823
n_baiot,stationary,HeavyMLP,10,0.9977125413851653,0.00014208220695134725,0.9976244779209311,0.9978006048493995,0.9800096743586348,0.001086565246236902,0.9793362142417548,0.9806831344755149,0.9944276966038569,0.0007796778469779823,0.993944447267682,0.9949109459400317
n_baiot,stationary,LightLR,10,0.9983582056684156,9.861167480033477e-05,0.9982970855191501,0.9984193258176811,0.986208145862672,0.0007846291371351985,0.9857218276850636,0.9866944640402805,0.9962020323536234,0.00048014312745506033,0.995904436560039,0.9964996281472077
n_baiot,stationary,MedRF,10,0.999752477596328,7.563083636410763e-05,0.9997056011182942,0.9997993540743618,0.9983715698922195,0.0004992876125847772,0.9980621082238175,0.9986810315606216,0.999996550067781,2.564002915479481e-06,0.9999949608823095,0.9999981392532524
n_baiot,stationary,TinyDT,10,0.9984332271881844,0.00015285704600040276,0.9983384854095182,0.9985279689668506,0.986673533939949,0.0012381609615806893,0.9859061138252432,0.9874409540546549,0.9887106500393867,0.0011581755050657136,0.987992805424247,0.9894284946545265
ton_iot,drift,HeavyMLP,10,0.9822232852852405,0.0008445164630909342,0.9816998485584446,0.9827467220120364,0.9883468519568916,0.0005803086314913922,0.9879871729407035,0.9887065309730798,0.9915503759571752,0.0005534574280038722,0.9912073394893307,0.9918934124250197
ton_iot,drift,LightLR,10,0.9704386431074035,0.0007493697492157471,0.9699741789248418,0.9709031072899651,0.9767277722631877,0.0006997415302581166,0.9762940679694184,0.9771614765569571,0.9937303134749008,0.000327448139854852,0.9935273590151456,0.9939332679346561
ton_iot,drift,MedRF,10,0.9838638078329257,0.0006350981211304382,0.9834701699392344,0.984257445726617,0.9906292186613725,0.00041761304314242507,0.9903703794155754,0.9908880579071697,0.996632569129325,0.0003191059865661204,0.9964347851897464,0.9968303530689036
ton_iot,drift,TinyDT,10,0.6067775477096781,0.0010284360923939913,0.6061401164156199,0.6074149790037362,0.6604044242768008,0.0014524910785409084,0.6595041609793051,0.6613046875742965,0.9905264495001418,0.0006165008281139258,0.9901443383280827,0.9909085606722009
ton_iot,stationary,HeavyMLP,10,0.9733419687607098,0.00043431264539954675,0.973072778994199,0.9736111585272206,0.9882248821619448,0.0002505811206393908,0.9880695703742927,0.988380193949597,0.9915468060916874,0.000319698483971311,0.9913486549184124,0.9917449572649625
ton_iot,stationary,LightLR,10,0.9615751253583232,0.00048519985891212655,0.9612743953701105,0.961875855346536,0.976501717915388,0.000390401482358508,0.9762597445697009,0.9767436912610751,0.9938027319985696,0.00024270175931096657,0.9936523038896653,0.9939531601074739
ton_iot,stationary,MedRF,10,0.9743915246415144,0.0005982064458869902,0.9740207524450349,0.9747622968379938,0.9906295423976849,0.00027174200824420426,0.9904611149560129,0.9907979698393569,0.9966627832472457,9.902785774032431e-05,0.9966014051451214,0.9967241613493699
ton_iot,stationary,TinyDT,10,0.479097692485096,0.0010097450638549515,0.4784718460105488,0.47972353895964315,0.6597759536757449,0.0005463277797849549,0.6594373362096488,0.660114571141841,0.9905200910928015,0.00026295082893943437,0.9903571124805142,0.9906830697050888
