dataset,scenario,seed,model,rows,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,tn,fp,fn,tp,trace_sha256
ton_iot,stationary,11,TinyDT,20000,0.48265,0.6593341810569899,0.31615847608968844,0.9983291562238931,0.4802330838398553,0.9907412372965018,0.9508744659461806,4873,10339,8,4780,1236ed0a468c37d33be09d4bdd22b5d8a0d2cb32130525668c4e90f5c3f14f02
ton_iot,stationary,11,LightLR,20000,0.98165,0.9771317536983839,0.955491448588502,0.9684628237259816,0.9619334093973654,0.9942535432388493,0.9840460188149193,14996,216,151,4637,1236ed0a468c37d33be09d4bdd22b5d8a0d2cb32130525668c4e90f5c3f14f02
ton_iot,stationary,11,MedRF,20000,0.98705,0.9902704818405028,0.9517255136644723,0.9964494569757728,0.9735741250892767,0.9965055700650521,0.9859487124586888,14970,242,17,4771,1236ed0a468c37d33be09d4bdd22b5d8a0d2cb32130525668c4e90f5c3f14f02
ton_iot,stationary,11,HeavyMLP,20000,0.98685,0.9882784740359093,0.9556898288016112,0.9910192147034252,0.9730339382754024,0.9917376256290652,0.9823174543092928,14992,220,43,4745,1236ed0a468c37d33be09d4bdd22b5d8a0d2cb32130525668c4e90f5c3f14f02
ton_iot,stationary,23,TinyDT,20000,0.4818,0.6591729985723123,0.31430085447439887,0.9974774017237755,0.4779893220509721,0.9902605400941438,0.9504278309870106,4891,10352,12,4745,edc3ac9b9e63743ea773eb241b0306d7fa8273ce8c919b5c728f2cce5db8ac95
ton_iot,stationary,23,LightLR,20000,0.98165,0.9764649825100211,0.9567207657095298,0.9665755728400253,0.9616229216772979,0.9936049314813151,0.9833997208705839,15035,208,159,4598,edc3ac9b9e63743ea773eb241b0306d7fa8273ce8c919b5c728f2cce5db8ac95
ton_iot,stationary,23,MedRF,20000,0.9877,0.9908461275042442,0.9535491654936658,0.9968467521547194,0.9747173689619733,0.996661483587493,0.9863805897629127,15012,231,15,4742,edc3ac9b9e63743ea773eb241b0306d7fa8273ce8c919b5c728f2cce5db8ac95
ton_iot,stationary,23,HeavyMLP,20000,0.98705,0.9879612873923003,0.9572997153314355,0.9896993903720832,0.9732299741602067,0.9912635403168275,0.9825556222037648,15033,210,49,4708,edc3ac9b9e63743ea773eb241b0306d7fa8273ce8c919b5c728f2cce5db8ac95
ton_iot,stationary,37,TinyDT,20000,0.48255,0.6594730725357488,0.31518282988871227,0.997693436779199,0.47903347596274853,0.9903714639109336,0.9505971202635167,4893,10338,11,4758,5e0ff20f084de89152b3e48a2f00554e2b71c393999c66515fb7b24f8cb63193
ton_iot,stationary,37,LightLR,20000,0.98155,0.976652051590658,0.9558640696228761,0.9672887397777312,0.9615424700364773,0.9939103666401746,0.9836174075489463,15018,213,156,4613,5e0ff20f084de89152b3e48a2f00554e2b71c393999c66515fb7b24f8cb63193
ton_iot,stationary,37,MedRF,20000,0.98725,0.9903326267615438,0.952485966319166,0.9962256238205074,0.9738649174951317,0.9965338842288669,0.9859605760350297,14994,237,18,4751,5e0ff20f084de89152b3e48a2f00554e2b71c393999c66515fb7b24f8cb63193
ton_iot,stationary,37,HeavyMLP,20000,0.987,0.9880800239118993,0.956838905775076,0.9901446844202139,0.97320692497939,0.9913059785158836,0.9818710463579656,15018,213,47,4722,5e0ff20f084de89152b3e48a2f00554e2b71c393999c66515fb7b24f8cb63193
ton_iot,stationary,53,TinyDT,20000,0.4825,0.659786022433132,0.3142743433271425,0.9974736842105263,0.4779582366589327,0.9904824089732529,0.9514920798021005,4912,10338,12,4738,4159aea5d061dc9186d53e660363a7f27c5cdf5a27a6ddd0d8b715a1640ef852
ton_iot,stationary,53,LightLR,20000,0.9815,0.976127696289905,0.9566305254378649,0.9658947368421053,0.9612403100775194,0.9937201035375323,0.9835673348482814,15042,208,162,4588,4159aea5d061dc9186d53e660363a7f27c5cdf5a27a6ddd0d8b715a1640ef852
ton_iot,stationary,53,MedRF,20000,0.98755,0.9908213977566869,0.9527258096962382,0.9970526315789474,0.9743853513013064,0.9967101984469371,0.9860492053887705,15015,235,14,4736,4159aea5d061dc9186d53e660363a7f27c5cdf5a27a6ddd0d8b715a1640ef852
ton_iot,stationary,53,HeavyMLP,20000,0.9871,0.9880621225194133,0.9572475570032574,0.9898947368421053,0.9732974539432829,0.9909926419327005,0.9817201968052733,15040,210,48,4702,4159aea5d061dc9186d53e660363a7f27c5cdf5a27a6ddd0d8b715a1640ef852
ton_iot,stationary,71,TinyDT,20000,0.4839,0.6605475087891104,0.31570565987658417,0.9981120201384519,0.4796854521625164,0.9907651114233393,0.9512427971188239,4920,10313,9,4758,e6fb4a96b33811d21a531538530911687e31111440eabeb33626961d8e38a79e
ton_iot,stationary,71,LightLR,20000,0.9814,0.976115251422657,0.956386292834891,0.9660163624921334,0.9611772072636193,0.9939759041951679,0.9839920914873868,15023,210,162,4605,e6fb4a96b33811d21a531538530911687e31111440eabeb33626961d8e38a79e
ton_iot,stationary,71,MedRF,20000,0.98775,0.9910214127077817,0.9534697152025672,0.9972729179777637,0.9748795242489491,0.9967694456644512,0.9863910596770615,15001,232,13,4754,e6fb4a96b33811d21a531538530911687e31111440eabeb33626961d8e38a79e
ton_iot,stationary,71,HeavyMLP,20000,0.98715,0.9884656021614937,0.9566626164439044,0.9909796517726033,0.9735188047398249,0.9916100731975206,0.9827485834506624,15019,214,43,4724,e6fb4a96b33811d21a531538530911687e31111440eabeb33626961d8e38a79e
ton_iot,stationary,89,TinyDT,20000,0.48255,0.6593570188615888,0.3152490726020138,0.9974848040243136,0.4790859213771581,0.9903858317067877,0.9514083240953858,4892,10337,12,4759,be653585e608d6fb94936159dfb62ad51d9f9dd04b3f4d0026c7188d2d11a632
ton_iot,stationary,89,LightLR,20000,0.9815,0.9761933510593165,0.9568195972597052,0.9660448543282331,0.961410095953275,0.9934467245176789,0.9830229208651821,15021,208,162,4609,be653585e608d6fb94936159dfb62ad51d9f9dd04b3f4d0026c7188d2d11a632
ton_iot,stationary,89,MedRF,20000,0.9875,0.9905685243293131,0.9532785241628233,0.9964368057011109,0.9743799959007994,0.9965688084841937,0.9860454049123529,14996,233,17,4754,be653585e608d6fb94936159dfb62ad51d9f9dd04b3f4d0026c7188d2d11a632
ton_iot,stationary,89,HeavyMLP,20000,0.98715,0.9882516353184945,0.9572528363047001,0.9903584154265354,0.9735242608426908,0.9915134156929218,0.9823300929706926,15018,211,46,4725,be653585e608d6fb94936159dfb62ad51d9f9dd04b3f4d0026c7188d2d11a632
ton_iot,stationary,107,TinyDT,20000,0.48235,0.6593798295565388,0.3148479427549195,0.9974811083123426,0.4786221483607796,0.9905182186495856,0.9520346709220304,4895,10341,12,4752,3b3d0af082ce2900e89201369c41bbfaa99e9cc3699605fbf239d8d35784ec98
ton_iot,stationary,107,LightLR,20000,0.9821,0.9771424411536687,0.9576235978396344,0.9676742233417296,0.9626226769680518,0.9938380341843605,0.9838344261877885,15032,204,154,4610,3b3d0af082ce2900e89201369c41bbfaa99e9cc3699605fbf239d8d35784ec98
ton_iot,stationary,107,MedRF,20000,0.98805,0.9909304083152743,0.9553230026162206,0.996431570109152,0.975444364533032,0.996695449473484,0.9865755096999059,15014,222,17,4747,3b3d0af082ce2900e89201369c41bbfaa99e9cc3699605fbf239d8d35784ec98
ton_iot,stationary,107,HeavyMLP,20000,0.98715,0.9882477346617528,0.9571921282207344,0.9903442485306465,0.9734860208397813,0.9917534719351996,0.982780297253911,15025,211,46,4718,3b3d0af082ce2900e89201369c41bbfaa99e9cc3699605fbf239d8d35784ec98
ton_iot,stationary,131,TinyDT,20000,0.48395,0.6607299732973754,0.3147187873952932,0.9972614282704866,0.478447622416494,0.9900424538074482,0.9494900190505684,4945,10308,13,4734,5608f466190713a4c3fe5baf8334d438f574f674533f15a10d36fd3af78e6ff4
ton_iot,stationary,131,LightLR,20000,0.9813,0.9762773359458612,0.9550468262226847,0.966715820518222,0.9608458961474037,0.9934970781630488,0.9829736965226508,15037,216,158,4589,5608f466190713a4c3fe5baf8334d438f574f674533f15a10d36fd3af78e6ff4
ton_iot,stationary,131,MedRF,20000,0.98715,0.990342090615126,0.9517102615694165,0.9964187908152518,0.9735515076669754,0.9966506984207978,0.985801493475809,15013,240,17,4730,5608f466190713a4c3fe5baf8334d438f574f674533f15a10d36fd3af78e6ff4
ton_iot,stationary,131,HeavyMLP,20000,0.98665,0.9878378088907036,0.9552845528455285,0.9900990099009901,0.9723802627495604,0.9914366478320835,0.9819521795865097,15033,220,47,4700,5608f466190713a4c3fe5baf8334d438f574f674533f15a10d36fd3af78e6ff4
