dataset,scenario,seed,rows,unique_rows,windows,samples_per_window,replacement,trace_sha256,energy_measured,eligible_claim
ton_iot,stationary,11,20000,20000,200,100,False,1236ed0a468c37d33be09d4bdd22b5d8a0d2cb32130525668c4e90f5c3f14f02,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,23,20000,20000,200,100,False,edc3ac9b9e63743ea773eb241b0306d7fa8273ce8c919b5c728f2cce5db8ac95,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,37,20000,20000,200,100,False,5e0ff20f084de89152b3e48a2f00554e2b71c393999c66515fb7b24f8cb63193,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,53,20000,20000,200,100,False,4159aea5d061dc9186d53e660363a7f27c5cdf5a27a6ddd0d8b715a1640ef852,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,71,20000,20000,200,100,False,e6fb4a96b33811d21a531538530911687e31111440eabeb33626961d8e38a79e,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,89,20000,20000,200,100,False,be653585e608d6fb94936159dfb62ad51d9f9dd04b3f4d0026c7188d2d11a632,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,107,20000,20000,200,100,False,3b3d0af082ce2900e89201369c41bbfaa99e9cc3699605fbf239d8d35784ec98,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,131,20000,20000,200,100,False,5608f466190713a4c3fe5baf8334d438f574f674533f15a10d36fd3af78e6ff4,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,157,20000,20000,200,100,False,852135ccd5bb35726abb3f54cbb8260a81f08a2fc5e106e3d05980df4889c552,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,stationary,191,20000,20000,200,100,False,9556c4c172889bdb77cbd45c576171dc2afb964144e83db378d51d372343a1df,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,11,50000,19747,500,100,,5ed9a96ef127ae986f17b76160fd4090578a54a733acd06a421ccf355bddeb7e,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,23,50000,19805,500,100,,f9cd7aed9015912ba904cfba09b11dfc10a68449324cb8ac164c609851790113,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,37,50000,19737,500,100,,adf27ea882a171dd67851274df03d1ed3bb480aa3463b6ba575964c2b0a2d6a1,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,53,50000,19716,500,100,,6c94334b6f0829014c1a36a436ec161ba5fa1926be4cfa075b53258f23e24943,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,71,50000,19746,500,100,,c1a4a42af6f6b8340fff0568233488f9eaf6c007e31ee5e1d2c290553419bada,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,89,50000,19791,500,100,,d527039db6b90f2a26bbd6d3f67ee8788b47a808691668347de1ea9ba1c9e685,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,107,50000,19731,500,100,,741c9432080f92e9b60dc7275442f31bdd2587888e353cd254941e8654ed1e1c,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
ton_iot,drift,131,50000,19794,500,100,,15d066c5345638a5c93c237b05715cf23a2e5baea91217c6f45a96e449b45af5,False,held-out classifier predictions on controlled replay only; no adaptive scheduler or physical energy result
