stream,benchmark_block,run_id,method,order,n_warmup,n_timed,mean_ns,median_ns,p95_ns,p99_ns,sd_ns,rss_before_bytes,rss_after_bytes,peak_rss_bytes,temp_before_c,temp_after_c,cpu_freq_before_hz,cpu_freq_after_hz,throttle_before,throttle_after,raw_array_path,source_hash,policy_hash,valid,failure_reason
exhaustive_324,1,p1b-r1-exhaustive_324-b01-CFSM,CFSM,1,1000,10000,6198.7559,6130.0,6537.0,6666.0,710.1779910649789,302301184,302309376,302608384,32.128,32.128,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-exhaustive_324-CFSM.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,,true,
exhaustive_324,1,p1b-r1-exhaustive_324-b01-Tabular-Q,Tabular-Q,2,1000,10000,10543.934,10500.0,10722.0,10889.0,828.4772861734778,302706688,302706688,302608384,32.615,31.641,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-exhaustive_324-Tabular-Q.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,true,
exhaustive_324,1,p1b-r1-exhaustive_324-b01-DQN,DQN,3,1000,10000,1522790.5835,1507786.0,1581843.7,1625009.03,56563.087849131174,309714944,309719040,309530624,35.05,39.92,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-exhaustive_324-DQN.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,true,
exhaustive_324,1,p1b-r1-exhaustive_324-b01-Static-LightLR,Static-LightLR,4,1000,10000,652.6748,648.0,704.0,852.0,230.44397299002796,309719040,309719040,309530624,39.92,39.92,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-exhaustive_324-Static-LightLR.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,,true,
observed_support,1,p1b-r1-observed_support-b01-CFSM,CFSM,1,1000,10000,6596.303,6555.0,6907.0,7093.170000000004,1174.2927129675006,309719040,309723136,309530624,39.92,40.407,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-observed_support-CFSM.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,,true,
observed_support,1,p1b-r1-observed_support-b01-Tabular-Q,Tabular-Q,2,1000,10000,10744.6731,10703.0,10981.0,11185.0,757.926912938791,309723136,309723136,309530624,39.433,39.433,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-observed_support-Tabular-Q.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,a89c52c9839fe4c97bbd81cdc97cd9d4bd58c9dab8a42dda728c225855501c17,true,
observed_support,1,p1b-r1-observed_support-b01-DQN,DQN,3,1000,10000,1528757.4931,1504120.0,1580081.95,1844195.9700000007,164485.1397434096,309723136,309723136,309530624,39.433,42.842,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-observed_support-DQN.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,true,
observed_support,1,p1b-r1-observed_support-b01-Static-LightLR,Static-LightLR,4,1000,10000,700.1365,666.0,907.0,1056.0,426.330704330213,309723136,309723136,309530624,42.842,41.868,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-01-observed_support-Static-LightLR.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,,true,
exhaustive_324,2,p1b-r1-exhaustive_324-b02-DQN,DQN,1,1000,10000,1506800.4062,1494814.0,1566692.0,1583267.36,39460.78258727317,309727232,309727232,309530624,42.842,45.277,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-02-exhaustive_324-DQN.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,123c380bb3d78c9ac8d34614eb1f0fcc30caaee79b420a78652f39c90a88a471,true,
exhaustive_324,2,p1b-r1-exhaustive_324-b02-Static-LightLR,Static-LightLR,2,1000,10000,650.8365,648.0,703.0,833.0100000000002,289.4106166301641,309727232,309727232,309530624,45.277,43.329,"[1800000000, 1800000000, 1800000000, 1800000000]","[1800000000, 1800000000, 1800000000, 1800000000]",throttled=0x0,throttled=0x0,corrected_replacement/raw/block-02-exhaustive_324-Static-LightLR.npy,6c77bd6d5c1867c5ec2f156f8ecbdd3826f717b2ea75b37b4c91e4f7f7b72390,,true,
