analysis_family,algorithm,variant,seed,training_episodes,selected_checkpoint,validation_return,validation_f1,validation_recall,validation_fpr,validation_ba,test_f1,test_recall,test_fpr,test_ba,test_switches,test_occupancy_tinydt,test_occupancy_lightlr,test_occupancy_medrf,test_occupancy_heavymlp,unique_validation_states,unique_test_states,policy_hash,config_hash,training_curve_path,validation_curve_path,action_map_path,notes
hyperparameter,Tabular-Q,alpha_0.05,2003,1000,74,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,9d4ba108fcd77408bc542a1cbe2c14d2e4e0a8f4078717582d8daa507570a588,735a1f96e4f976022f65de868cad77117490332d9950111854cd2ed96e906972,alpha-alpha_0.05-2003/training.jsonl,alpha-alpha_0.05-2003/validation_windows.jsonl,alpha-alpha_0.05-2003/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.05,2011,1000,74,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,53ee4ae9e6aacbe15098e3674eae194e9afb89b9d588c845170507893c4fdd95,735a1f96e4f976022f65de868cad77117490332d9950111854cd2ed96e906972,alpha-alpha_0.05-2011/training.jsonl,alpha-alpha_0.05-2011/validation_windows.jsonl,alpha-alpha_0.05-2011/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.05,2017,1000,99,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,7bcabe4ecf1f8c6e6a4f3e7916e9cb8a0430af2e96c493440bf294e01177883a,735a1f96e4f976022f65de868cad77117490332d9950111854cd2ed96e906972,alpha-alpha_0.05-2017/training.jsonl,alpha-alpha_0.05-2017/validation_windows.jsonl,alpha-alpha_0.05-2017/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.05,2027,1000,24,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,c51337505ed113c83c61074d8d58c239d1e8e083c6bddd8c2d3cca626fef30dd,735a1f96e4f976022f65de868cad77117490332d9950111854cd2ed96e906972,alpha-alpha_0.05-2027/training.jsonl,alpha-alpha_0.05-2027/validation_windows.jsonl,alpha-alpha_0.05-2027/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.05,2029,1000,74,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,c5bde50d76b733eae1d2abb6e8cac709bfad890995fffc923d4d0142d1b33d0a,735a1f96e4f976022f65de868cad77117490332d9950111854cd2ed96e906972,alpha-alpha_0.05-2029/training.jsonl,alpha-alpha_0.05-2029/validation_windows.jsonl,alpha-alpha_0.05-2029/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.10,2003,1000,24,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,0c88a64396a11ba268bc1702853af374de608429fd1845f1a450167130d92122,dce7a3117a11a094e564488a409eb7366a5f12f359633db832c863de678b7e81,alpha-alpha_0.10-2003/training.jsonl,alpha-alpha_0.10-2003/validation_windows.jsonl,alpha-alpha_0.10-2003/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.10,2011,1000,49,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,93043e96e79b90832f04f649e75cc45fd157fa035c75738e3ba8697efd880499,dce7a3117a11a094e564488a409eb7366a5f12f359633db832c863de678b7e81,alpha-alpha_0.10-2011/training.jsonl,alpha-alpha_0.10-2011/validation_windows.jsonl,alpha-alpha_0.10-2011/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.10,2017,1000,24,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,7d9217267fbd20b6205196951eca6fef6619bc1af410ff6fbbc939b26675dd4b,dce7a3117a11a094e564488a409eb7366a5f12f359633db832c863de678b7e81,alpha-alpha_0.10-2017/training.jsonl,alpha-alpha_0.10-2017/validation_windows.jsonl,alpha-alpha_0.10-2017/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.10,2027,1000,24,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,47ba26be34fe92dc57e4df74f93de7d995e4c99bb06e9a1d4d459b32b9c7b482,dce7a3117a11a094e564488a409eb7366a5f12f359633db832c863de678b7e81,alpha-alpha_0.10-2027/training.jsonl,alpha-alpha_0.10-2027/validation_windows.jsonl,alpha-alpha_0.10-2027/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.10,2029,1000,49,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,a92c4471794c2f8601943a53b83354c54357624381b5aee193efc848fddf11a0,dce7a3117a11a094e564488a409eb7366a5f12f359633db832c863de678b7e81,alpha-alpha_0.10-2029/training.jsonl,alpha-alpha_0.10-2029/validation_windows.jsonl,alpha-alpha_0.10-2029/action_map.json,test descriptive only; no test-based selection
hyperparameter,Tabular-Q,alpha_0.20,2003,1000,24,246.59004000743695,0.9834187275588009,0.992046511627907,0.013371951219512195,0.9893372802041974,0.970438952674321,0.9670988372093023,0.01364329268292683,0.9767277722631877,10,0.0,1.0,0.0,0.0,4,4,74af8a829fcb2e9b822a11c4d9b4aa090388dfd2b9d24008ea3f8ff1f1013718,d7bd0cd1c8136996f748f976fe3894d78bab5a60e06ba0741f5da86014d8b0ea,alpha-alpha_0.20-2003/training.jsonl,alpha-alpha_0.20-2003/validation_windows.jsonl,alpha-alpha_0.20-2003/action_map.json,test descriptive only; no test-based selection
