campaign,block,position1,position2,position3,position4,position5,position6
R1,1,Static-MedRF,Static-LightLR,Tabular-Q,ConfidenceCascade_0p3_0p7,,
R1,2,Static-LightLR,ConfidenceCascade_0p3_0p7,Static-MedRF,Tabular-Q,,
R1,3,ConfidenceCascade_0p3_0p7,Static-MedRF,Static-LightLR,Tabular-Q,,
R1,4,Static-MedRF,Tabular-Q,ConfidenceCascade_0p3_0p7,Static-LightLR,,
R1,5,Tabular-Q,ConfidenceCascade_0p3_0p7,Static-MedRF,Static-LightLR,,
R1,6,Static-LightLR,ConfidenceCascade_0p3_0p7,Tabular-Q,Static-MedRF,,
R1,7,Tabular-Q,Static-LightLR,Static-MedRF,ConfidenceCascade_0p3_0p7,,
R1,8,Tabular-Q,Static-MedRF,ConfidenceCascade_0p3_0p7,Static-LightLR,,
R1,9,ConfidenceCascade_0p3_0p7,Static-LightLR,Tabular-Q,Static-MedRF,,
R1,10,ConfidenceCascade_0p3_0p7,Tabular-Q,Static-LightLR,Static-MedRF,,
R2,1,DQN,ConfidenceCascade_0p3_0p7,Static-MedRF,Tabular-Q,DeadlineGuard,Static-LightLR
R2,2,DeadlineGuard,DQN,Static-MedRF,Static-LightLR,ConfidenceCascade_0p3_0p7,Tabular-Q
R2,3,ConfidenceCascade_0p3_0p7,Tabular-Q,Static-LightLR,Static-MedRF,DQN,DeadlineGuard
R2,4,Static-MedRF,DeadlineGuard,Tabular-Q,ConfidenceCascade_0p3_0p7,DQN,Static-LightLR
R2,5,Static-LightLR,Tabular-Q,DeadlineGuard,DQN,Static-MedRF,ConfidenceCascade_0p3_0p7
R2,6,DeadlineGuard,Static-MedRF,ConfidenceCascade_0p3_0p7,Tabular-Q,Static-LightLR,DQN
R2,7,ConfidenceCascade_0p3_0p7,DQN,Tabular-Q,Static-LightLR,DeadlineGuard,Static-MedRF
R2,8,Tabular-Q,ConfidenceCascade_0p3_0p7,DeadlineGuard,DQN,Static-LightLR,Static-MedRF
R2,9,Tabular-Q,Static-MedRF,ConfidenceCascade_0p3_0p7,DeadlineGuard,Static-LightLR,DQN
R2,10,Static-MedRF,Static-LightLR,DQN,ConfidenceCascade_0p3_0p7,Tabular-Q,DeadlineGuard
R3,1,StaticSelector,CFSM,Tabular-Q,DQN,,
R3,2,CFSM,Tabular-Q,DQN,StaticSelector,,
R3,3,Tabular-Q,DQN,StaticSelector,CFSM,,
R3,4,DQN,StaticSelector,CFSM,Tabular-Q,,
