source_group_hash,assigned_split,rows,prior_used_rows,duplicate_fingerprint_rows,novel_fingerprint_rows,eligible_untouched_holdout
0933c771b8d5545eacd79f73cd2cf8dcdd8a4f225f7e3a71b8d8235b22481a80,validation,4,0,4,0,false
135f521d59f4ba235a459f1f05a1c7bfdc455bd1ac18de84913b5d7beb6921ef,validation,4,0,4,0,false
242f18b0a87c18efce0f661f462c4632f8ef36005da63ee5f00eb19a2360300b,test,7,0,7,0,false
3b7b29e55f7b92818b52aec2aaef08ee2f357926f4eb0a65e92d0136f95164af,validation,12,0,12,0,false
42c51b613bd206a76ee1189bc5e7e7a96ec48ceac54b019ead72d171776a89dd,validation,3,0,3,0,false
4e834066e827bed59081d57dbde4e9bcf4e6d56f25606d15caad53533bb7e195,validation,449,0,449,0,false
6907535c0dedaa11ce58de7632fc9e7f32658248a30964af82a0ff2a23a89072,test,2,0,2,0,false
79f385ee150e899ff6cf4a18ee007c84d7f76a74c692ac3e8e288fbb9d6d7beb,test,10,0,10,0,false
7d8888c4196b3c0db28c6f1cd11a8325d62bed5c802b02b9d1cff871a1c1fae9,test,6,0,6,0,false
84f5a40bde082621e48c11f65e2b537170aff114898c7f8aea6fc5328b6f2700,test,1,0,1,0,false
84f6ce7666067abd1856e19c2da9409fb122c3c6710403dbdf47522cbd98dc1b,test,1826,0,1826,0,false
964ca683ca1d154dcdba708f2560802a9b7475a49118e90f501c41bc3de24d83,validation,2,0,2,0,false
9bc8b6e878d5bac87e276156fd36027b59719a69637d43c49d2904a6d223cd86,test,2,0,2,0,false
a145b87ec2a734defc720df7eaa3c0762ae5a08797c8e8193cedd0e08eedd8bc,test,2,0,2,0,false
a681fcd3731573d83ff3ef35478ba2d53695438360480493b773f1e8dc5ca813,validation,451,0,451,0,false
b113aa7bed9edadf28ae1bf3e14d28d222aff994e3e1be0f51d070fd914701ef,validation,2,0,2,0,false
b6f60b304c2b7f2c26dd1a54abfb77ee71bac4dc7b7bc7d837dc16b60a2dc056,test,3,0,3,0,false
bcd20451b43d0570369234c5e2af6811b6502d7b3b3859ac3bb781bfdea769b1,validation,14,0,14,0,false
bd0ac1f68b3602a530bac051eb0772c9fee1bcd750652d8e572a18f209d48cd7,test,4,0,4,0,false
c0082dbbc06f5f8e40d065c2779204d137bdc1da8fd6de1970ccabdc95d6e494,validation,8,0,8,0,false
cbc2175a91f1ac4d497cee139debaabafef7a9ba63cf965cdf2fbc58442a34d7,validation,4,0,4,0,false
d388412fc79b493a7f560dd331f8365a8d6e4562bbfb9eebec02ed7faeaba935,validation,2,0,2,0,false
da0cd328c94ea57b81ddd7739943736802fb74fe0216a8b6282cfb880b363d5f,test,2,0,2,0,false
da76d0ecd44435f7ddcc1776e6aba2c209ece9247bf2050df3213a4858e5ce33,validation,2,0,2,0,false
daf4965e4a414d5a24c43ccd0498946904974994a30971ecc4466f3fb54c13c4,validation,14,0,14,0,false
df5da07263972908a0a69b9c5e8ccccc573fe98c38de3849c93efd4cb8e0ff84,validation,1,0,1,0,false
e41cc5fe65aa861a75fb1b2c05efcbc2792b5b743b062dc21dcafe3c05cd05d4,test,2,0,2,0,false
e4a1761e0669c3c0ca56fb8fd8208cc3707ea1b66a05b8b8a7abee4b5c707aec,validation,2,0,2,0,false
ea5acb98a7f30886ba797d1703ca2af558551fc41145af3046ffe4e567b3ceda,test,2,0,2,0,false
eddd49f46c98b8b7ba308c2265eaeac4aa018a9ce11df39c953cdd2dfd910774,validation,4,0,4,0,false
ef9291245b42a77ea861f2688f1efa618da66c9336a0dd9785e434d428216e77,validation,8,0,8,0,false
f942f1b2921b42c2997a63828776ba53088fa4720ba4f2380aeced04cb2b4863,validation,4,0,4,0,false
fcde8dd3619f8042584f206f68079c5de313e7cb7c4a841bd2292d8f7b3ab086,test,8,0,8,0,false
